case_name,time_day,reactive_area_m2,reactive_area_in2,Lx_m,Ly_m,Lz_m,nx,ny,nz,number_of_fractures,temperature_C,injection_rate_m3_day,aperture_m,permeability_m2,maximum_pressure_pa,analytical_generated_H2_m3_day,applied_generated_H2_m3_day,produced_H2_m3_day,cumulative_generated_H2_mol,cumulative_produced_H2_mol,stored_H2_mol,relative_H2_balance_error,inventory_remaining_fraction
field_150x50m_200C,75.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1050.230627640013,1050.230627640013,1050.2106332438766,1199833.2860272753,1198804.547287845,1028.738739436966,5.634155030809054e-15,1.0
field_150x50m_200C,76.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1050.954566292933,1050.954566292933,1050.9386122112753,1246721.5954005658,1245692.1448702165,1029.4505303561714,5.530043445324725e-15,1.0
field_150x50m_200C,77.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1051.532030831389,1051.532030831389,1051.5193046558622,1293635.6683385237,1292605.6500301997,1030.0183083311924,5.528283108412657e-15,1.0
field_150x50m_200C,78.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1051.9925415762439,1051.9925415762439,1051.9823927834207,1340570.2869508304,1339539.8158543909,1030.471096447016,5.591691390581609e-15,1.0
field_150x50m_200C,79.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1052.3597115889563,1052.3597115889563,1052.3516198205793,1387521.2868432617,1386490.4547327962,1030.832110473193,5.5414416208930506e-15,1.0
field_150x50m_200C,80.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1052.6524133024507,1052.6524133024507,1052.645962662613,1434485.3456146747,1433454.2257090884,1031.1199055942282,5.488883543491206e-15,1.0
field_150x50m_200C,81.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1052.885720436327,1052.885720436327,1052.8805787381743,1481459.813377516,1480428.4640752065,1031.3493023176368,5.448367908244061e-15,1.0
field_150x50m_200C,82.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1053.0716663709493,1053.0716663709493,1053.0675684264966,1528442.5771131702,1527411.0449811802,1031.5321319981465,5.3612219470983176e-15,1.0
field_150x50m_200C,83.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1053.2198534102836,1053.2198534102836,1053.2165876052427,1575431.9522095511,1574400.2743737581,1031.6778358013776,5.316631698519516e-15,1.0
field_150x50m_200C,84.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1053.3379414065848,1053.3379414065848,1053.3353389331287,1622426.5957986733,1621394.8018535979,1031.7939450840238,5.267039424964768e-15,1.0
